Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10,Sensor 11,Sensor 12,Sensor 13,Sensor 14,Sensor 15,Sensor 16,Sensor 17,Sensor 18,Sensor 19,Sensor 20,Sensor 21,Sensor 22,Sensor 23,Sensor 24,Sensor 25,Sensor 26,Sensor 27,Sensor 28,Sensor 29,Sensor 30,Sensor 31,Sensor 32,Sensor 33,Sensor 34,Sensor 35,Sensor 36,Sensor 37,Sensor 38,Sensor 39,Sensor 40,Sensor 41,Sensor 42,Sensor 43,Sensor 44,Sensor 45,Sensor 46,Sensor 47,Sensor 48,Sensor 49,Sensor 50,Sensor 51,Sensor 52,Sensor 53,Sensor 54,Sensor 55,Sensor 56,Sensor 57,Sensor 58,Sensor 59,Sensor 60,Sensor 61,Sensor 62,Sensor 63,Sensor 64,Sensor 65,Sensor 66,Sensor 67,Sensor 68,Sensor 69,Sensor 70,Sensor 71,Sensor 72,Sensor 73,Sensor 74,Sensor 75,Sensor 76,Sensor 77,Sensor 78,Sensor 79,Sensor 80,Sensor 81,Sensor 82,Sensor 83,Sensor 84,Sensor 85,Sensor 86,Sensor 87,Sensor 88,Sensor 89,Sensor 90,Sensor 91,Sensor 92,Sensor 93,Sensor 94,Sensor 95,Sensor 96,Sensor 97,Sensor 98,Sensor 99,Sensor 100,Sensor 101,Sensor 102
0.585750267,0.710869607,0.961794667,0.535206619,1.327430447,5.352066187,2.22607639,-1.417258473,-0.713737924,8.562829403,16.39160088,4.951562638,-0.718585299,0.408525618,1.355492864,8.562829403,16.39160088,4.951562638,-0.718585299,0.408525618,1.355492864,3.428719582,1.106577233,1.11514823,1.323574168,10.11588308,10.11682425,10.14191431,14.2631577,14.26382522,14.28163167,17.45119609,17.45174167,17.46629841,20.14077511,20.14124784,20.1538621,7.780123508,3.931760705,0.584022231,1.122251072,1.327430447,0.226696568,0.448505463,0.870023899,0.3377122,1.327430447,0.088459375,0.151465766,4.114463499,0.393176071,0.134966025,0.134966025,0.245027471,0.218335698,0.007162028,7.584955892,0.680767942,0.936767115,1.848734853,5.897993892,7.07759267,0.680767942,0.379614982,2.326892699,7.07759267,8.493111204,10.19173345,12.23008013,14.67609616,17.61131539,21.13357847,25.36029417,30.432353,36.5188236,43.82258832,52.58710598,63.10452718,0.699517216,1.504146994,1.504146994,1.504146994,1.504146994,1.504146994,1.504146994,1.504146994,1.504146994,-0.175016198,4.512440981,2.128089742,-2.229427349,7.374917868,2.026752136,2.128089742,-2.229427349,1.848734853,3.040128203,-0.709363247,2.262458178,4.951562638,52.58710598,14.28163167
1.394299247,0.528988958,0.403531386,0.562596034,1.060443772,5.625960341,1.060982347,1.135943226,1.141834214,28.13097337,16.00168202,16.08254311,9.065486684,0.360201871,-0.650074989,28.13097337,16.00168202,16.08254311,9.065486684,0.360201871,-0.650074989,0.192443788,1.797039917,1.277695713,1.371443415,10.2482385,10.17003177,10.18223438,14.38135711,14.32573161,14.33439698,17.56759722,17.52208966,17.52917502,20.25876384,20.21931418,20.22545467,9.363276862,6.417331348,-0.873089486,3.384624384,1.060443772,2.822145959,1.955807937,-3.133696141,10.12925714,1.060443772,-17.29667234,19.8108815,0.230932546,0.641733135,5.853199427,5.853199427,2.935914526,0.867426985,21.98574096,22.24865613,1.047248378,1.044886877,1.508479436,2.505719174,0.801929516,0.622426432,2.009436908,1.527677266,3.245078645,3.894094375,4.672913249,5.607495899,6.728995079,8.074794095,9.689752914,11.6277035,13.9532442,16.74389304,20.09267164,24.11120597,28.93344717,-0.46074941,-0.550044488,1.587760412,1.587760412,1.587760412,1.587760412,1.587760412,1.587760412,1.587760412,0.576742425,-1.650133463,1.917502651,1.163924526,18.88963491,1.035123075,1.086879228,-1.138635382,1.508479436,1.552684612,-0.362293076,-0.873338862,16.08254311,24.11120597,14.33439698
2.26929403,0.324146654,-0.033710091,2.277045896,-0.041533194,22.77045896,2.366655881,-13.77831415,-1.534053246,13.03651969,8.225526776,9.455772833,1.518259845,0.031487552,2.747590356,13.03651969,8.225526776,9.455772833,1.518259845,0.031487552,2.747590356,1.568347406,1.828087004,1.475856329,1.306593441,10.25524203,10.19834491,10.17522842,14.38742771,14.3469274,14.33050454,17.57345052,17.54030823,17.52687786,20.26460585,20.23587161,20.22423137,1.819098047,8.536832875,-0.251807909,1.523031326,-0.041533194,1.108410497,-0.49409072,0.015928451,-0.070114009,-0.041533194,-0.008723301,0.034642681,1.882016888,0.853683287,0.022745876,0.022745876,0.055658537,0.036544578,0.000441674,26.02366054,-0.260980505,0.439158642,1.184087913,1.993060682,0.674134301,0.583844654,0.449683406,0.712563083,9.496380848,11.39565702,13.67478842,16.4097461,19.69169533,23.63003439,28.35604127,34.02724952,40.83269943,48.99923931,58.79908718,70.55890461,84.67068553,1.877228326,1.680267083,0.508680687,0.508680687,0.508680687,0.508680687,0.508680687,0.508680687,0.508680687,0.985846916,5.04080125,0.244151044,2.156236255,-4.179830707,1.726419482,1.812740456,-1.89906143,1.184087913,2.589629223,-0.604246819,0.854719414,9.455772833,70.55890461,14.33050454
1.246255419,1.932317441,2.315581525,0.766818154,1.3285676,7.668181545,3.35955782,4.186758819,0.97511242,-0.464028066,25.94312359,23.51002744,-5.232014033,2.541831898,3.894416506,-0.464028066,25.94312359,23.51002744,-5.232014033,2.541831898,3.894416506,0.453015635,1.300736226,0.337421436,1.733864681,10.1485295,10.07048109,10.21308097,14.29312377,14.23781323,14.33902923,17.48125062,17.43605637,17.51880405,20.17163503,20.13248117,20.20418847,-4.488291727,-7.808930087,0.312657487,1.821963006,1.3285676,0.757372219,0.502694982,0.756819032,1.833295963,1.3285676,0.288141602,0.921588682,0.543618762,-0.780893009,0.505821841,0.505821841,-0.391221852,-0.214725464,-0.199795955,0.645131531,0.770888798,0.084870376,-0.106851509,1.320769701,-1.15771904,0.515266602,2.368119941,1.254544906,11.30843834,13.570126,16.2841512,19.54098144,23.44917773,28.13901328,33.76681593,40.52017912,48.62421494,58.34905793,70.01886952,84.02264342,100.8271721,0.937275197,-0.416468733,2.115678291,2.115678291,2.115678291,2.115678291,2.115678291,2.115678291,2.115678291,1.881448275,-1.249406198,0.453507692,0.499886123,15.47041285,0.797737214,0.837624075,-0.877510935,-0.106851509,1.196605821,-0.279208025,-0.881113857,23.51002744,84.02264342,14.33902923
0.325781163,1.89522394,0.82128028,2.313757164,0.54486317,23.13757164,0.278490834,0.412551117,0.384149557,14.30779683,20.88690235,18.82964913,2.153898413,1.185246428,-0.252336294,14.30779683,20.88690235,18.82964913,2.153898413,1.185246428,-0.252336294,0.661016148,2.775031594,0.861760464,1.993012607,10.5107484,10.17436301,10.33185031,14.60311143,14.36289296,14.47488039,17.77711718,17.58032212,17.67193238,20.46462623,20.29390937,20.37332142,-4.851830106,1.652539085,-1.558874459,0.41881342,0.54486317,1.042304685,0.346263872,-0.355728928,0.237849768,0.54486317,-0.128387001,0.082358782,0.793219377,0.165253908,0.196647905,0.196647905,0.010795803,0.025777119,0.006390434,-2.378501421,0.742365462,1.442754852,-0.632701108,2.041341591,1.747887893,1.276272919,-0.36410921,-0.312624184,10.20553804,12.24664565,14.69597478,17.63516974,21.16220368,25.39464442,30.47357331,36.56828797,43.88194556,52.65833467,63.19000161,75.82800193,90.99360231,0.982479166,1.925954757,2.487222125,2.487222125,2.487222125,2.487222125,2.487222125,2.487222125,2.487222125,1.257559143,5.777864271,2.568512741,1.237107694,27.12807749,4.407653522,4.628036198,-4.848418874,-0.632701108,6.611480283,-1.542678733,4.790277283,18.82964913,75.82800193,14.47488039
1.71599565,2.368014692,-0.148139409,0.613860214,2.080127737,6.138602136,0.168646938,0.349806974,2.027364179,27.96146845,-2.689760462,-4.955636776,8.980734223,1.610300206,-0.346775053,27.96146845,-2.689760462,-4.955636776,8.980734223,1.610300206,-0.346775053,0.298938046,1.114660269,0.39012919,2.106143526,10.11716995,10.0631437,10.27377734,14.26435376,14.22608595,14.3758534,17.45240523,17.4211418,17.54365473,20.14202345,20.11494076,20.22113947,5.811355961,-1.059688212,2.552033108,1.521545539,2.080127737,1.961104942,0.878353799,8.077207959,6.206914948,2.080127737,13.91334592,5.451867325,0.358725655,-0.105968821,3.583111504,3.583111504,-0.207245839,-0.136207451,-1.360500639,6.323751399,2.455063655,2.623909522,-0.119472963,1.02147043,-0.132950851,-0.552583249,1.110990111,0.491359123,8.742732165,10.4912786,12.58953432,15.10744118,18.12892942,21.7547153,26.10565836,31.32679003,37.59214804,45.11057765,54.13269317,64.95923181,77.95107817,0.575080348,1.96242126,0.639029544,0.639029544,0.639029544,0.639029544,0.639029544,0.639029544,0.639029544,0.079540037,5.887263779,1.448801868,0.34419918,13.31925012,-1.305888515,-1.371182941,1.436477367,-0.119472963,-1.958832773,0.45706098,1.254045163,-4.955636776,64.95923181,14.3758534
-0.078386672,2.11045777,0.130328412,0.725025034,3.172707034,7.250250337,1.560628771,0.082052889,0.043510344,-14.51990499,8.916000475,9.883226654,-12.2599525,0.01175055,3.067984155,-14.51990499,8.916000475,9.883226654,-12.2599525,0.01175055,3.067984155,0.547105426,-0.191471457,2.602415209,1.091940008,9.992256495,10.32381196,10.04991848,14.12988742,14.36626681,14.17072299,17.30497752,17.49851852,17.33833667,19.98176107,20.14960742,20.01065834,5.649399839,9.372618154,-1.917580262,1.483145397,3.172707034,2.356210629,2.421194307,-9.023338515,11.08735135,3.172707034,-51.47673644,26.84463198,0.656526512,0.937261815,18.09979793,18.09979793,16.51850149,11.13747953,307.0494875,15.86940462,0.083667157,2.043410534,-0.165369143,1.512281951,-1.414054139,2.223660412,0.380641061,0.116761191,10.59933537,12.71920244,15.26304293,18.31565152,21.97878182,26.37453818,31.64944582,37.97933498,45.57520198,54.69024238,65.62829085,78.75394902,94.50473882,1.321899401,1.667248728,0.450493516,0.450493516,0.450493516,0.450493516,0.450493516,0.450493516,0.450493516,1.429495046,5.001746183,1.152169031,0.20225662,15.32706935,2.291955245,2.406553007,-2.521150769,-0.165369143,3.437932867,-0.802184336,0.751084742,9.883226654,78.75394902,14.17072299
-0.048078942,-0.185780976,0.547569347,-1.396370853,0.780800006,-13.96370853,1.66466795,-3.25455589,0.840068289,-11.17080568,23.57594183,15.77728878,-10.58540284,1.843061966,-0.357421831,-11.17080568,23.57594183,15.77728878,-10.58540284,1.843061966,-0.357421831,0.799270245,-0.155575789,0.944128904,1.487045518,9.993429243,10.03672275,10.10226354,14.13198685,14.16263492,14.20915736,17.30772881,17.33276239,17.37079667,19.98504192,20.00672577,20.03968566,5.279392082,-4.688874416,0.888742054,1.176342005,0.780800006,1.17859866,1.752833261,0.816298774,1.082528544,0.780800006,1.686380971,1.897492037,0.959124294,-0.468887442,1.613044531,1.613044531,-0.853342654,-0.725420542,-1.220004169,23.79491131,0.848814642,1.313328396,1.861674611,1.443132919,2.362104885,1.00384224,2.589942972,1.274835029,-0.517554814,-0.621065776,-0.745278931,-0.894334718,-1.073201661,-1.287841994,-1.545410392,-1.854492471,-2.225390965,-2.670469158,-3.204562989,-3.845475587,-4.614570705,1.153022287,2.585092227,1.900411455,1.900411455,1.900411455,1.900411455,1.900411455,1.900411455,1.900411455,0.897895513,7.755276682,-0.018145069,-0.088300817,19.41639045,1.996484345,2.096308562,-2.196132779,1.861674611,2.994726517,-0.698769521,4.912738881,15.77728878,-3.845475587,14.20915736
-0.270550725,1.89501788,0.245215034,1.092972112,2.64824447,10.92972112,1.978001831,10.50693641,2.91602729,4.530039294,27.01040824,-8.313964004,-2.734980353,2.893539885,0.754239703,4.530039294,27.01040824,-8.313964004,-2.734980353,2.893539885,0.754239703,-0.297967273,0.858242103,-0.247730676,1.071786642,10.07942566,10.0458754,10.09984994,14.2286002,14.20485321,14.24307589,17.41583492,17.3964392,17.42766344,20.10396846,20.08716851,20.11421624,7.783764805,6.955757616,3.784621723,1.258615462,2.64824447,0.428201024,1.532958212,12.6146038,1.427246014,2.64824447,8.280406034,2.187908499,-0.357560727,0.695575762,1.738345479,1.738345479,-0.544155981,-0.432344904,2.10192214,3.856100025,2.143969485,0.310625938,1.256160927,1.060384856,1.365246933,-1.281544288,1.426273202,2.276521736,1.160623489,1.392748187,1.671297825,2.00555739,2.406668868,2.888002641,3.465603169,4.158723803,4.990468564,5.988562276,7.186274732,8.623529678,10.34823561,1.692556979,-0.290950232,-0.568974837,-0.568974837,-0.568974837,-0.568974837,-0.568974837,-0.568974837,-0.568974837,1.660433663,-0.872850696,1.731399476,0.647601984,1.25093153,2.120681349,2.226715416,-2.332749484,1.256160927,3.181022023,-0.742238472,0.165543361,-8.313964004,8.623529678,14.24307589
0.840503459,1.843673559,-0.383906581,0.07076136,-0.237565746,0.707613603,0.799615246,0.205672583,2.180973631,-6.588816656,31.76189891,18.5156671,-8.294408328,4.73580244,1.877052915,-6.588816656,31.76189891,18.5156671,-8.294408328,4.73580244,1.877052915,1.702349976,1.259969442,0.556875307,-1.066177041,10.14137527,10.07819823,10.1191256,14.28661828,14.24184149,14.27083292,17.47476556,17.43817704,17.4618625,20.16500436,20.13330544,20.15382374,3.831735044,-1.469918659,-0.203446841,0.201620094,-0.237565746,2.546347601,2.946526165,0.009744702,-0.121965028,-0.237565746,0.073113332,-0.359373147,2.042819971,-0.146991866,-1.782427241,-1.782427241,0.107911821,0.535223543,-0.467000047,24.53343086,0.681838055,0.197531451,2.462411554,1.421832654,1.479997015,3.287675081,1.122960625,0.053934867,-2.814628607,-3.377554329,-4.053065195,-4.863678234,-5.83641388,-7.003696656,-8.404435988,-10.08532319,-12.10238782,-14.52286539,-17.42743846,-20.91292616,-25.09551139,1.452111491,0.418058198,2.345978648,2.345978648,2.345978648,2.345978648,2.345978648,2.345978648,2.345978648,0.852649786,1.254174595,0.666347369,1.337702855,19.93979358,0.432948605,0.454596035,-0.476243465,2.462411554,0.649422907,-0.151532012,0.980755607,18.5156671,-20.91292616,14.27083292
